epoch ,time       ,train/box_loss ,train/cls_loss ,train/dfl_loss ,metrics/precision(B) ,metrics/recall(B) ,metrics/mAP50(B) ,metrics/mAP50-95(B) ,val/box_loss ,val/cls_loss ,val/dfl_loss ,lr/pg0      ,lr/pg1      ,lr/pg2
   37 , 18962.4   ,       1.16965 ,       1.15741 ,       0.97003 ,             0.62454 ,          0.6264  ,         0.64323 ,            0.41298 ,     1.18755 ,     1.33114 ,     0.95779 ,0.000401022 ,0.000401022 ,0.000401022
   38 , 19470.2   ,       1.19281 ,       1.20603 ,       0.97389 ,             0.62733 ,          0.63171 ,         0.663   ,            0.43124 ,     1.16856 ,     1.27505 ,     0.94884 ,0.000397551 ,0.000397551 ,0.000397551
   39 , 19984.1   ,       1.17614 ,       1.19673 ,       0.97399 ,             0.623   ,          0.63614 ,         0.64839 ,            0.41226 ,     1.17685 ,     1.33575 ,     0.95744 ,0.000394079 ,0.000394079 ,0.000394079
   40 , 20492.6   ,       1.17903 ,       1.16522 ,       0.97602 ,             0.65559 ,          0.56403 ,         0.66517 ,            0.42667 ,     1.17488 ,     1.29142 ,     0.95674 ,0.000390608 ,0.000390608 ,0.000390608
   41 , 21005.4   ,       1.18515 ,       1.19367 ,       0.98765 ,             0.71133 ,          0.58921 ,         0.67174 ,            0.42822 ,     1.18667 ,     1.27539 ,     0.95651 ,0.000387136 ,0.000387136 ,0.000387136
   42 , 21525.5   ,       1.17827 ,       1.15593 ,       0.96952 ,             0.67791 ,          0.60128 ,         0.66488 ,            0.43103 ,     1.17006 ,     1.27718 ,     0.95576 ,0.000383664 ,0.000383664 ,0.000383664
   43 , 22042.3   ,       1.16886 ,       1.12309 ,       0.96434 ,             0.62018 ,          0.68046 ,         0.69486 ,            0.44724 ,     1.16436 ,     1.2541  ,     0.95203 ,0.000380193 ,0.000380193 ,0.000380193
   44 , 22558.2   ,       1.13956 ,       1.10344 ,       0.96291 ,             0.64891 ,          0.62357 ,         0.68392 ,            0.44049 ,     1.20345 ,     1.24682 ,     0.95576 ,0.000376721 ,0.000376721 ,0.000376721
   45 , 23066.2   ,       1.1727  ,       1.11065 ,       0.96374 ,             0.63885 ,          0.66095 ,         0.68537 ,            0.4373  ,     1.18537 ,     1.2121  ,     0.94994 ,0.00037325  ,0.00037325  ,0.00037325
   46 , 23581.9   ,       1.17264 ,       1.12252 ,       0.96849 ,             0.6744  ,          0.61798 ,         0.67035 ,            0.43233 ,     1.19566 ,     1.2944  ,     0.96434 ,0.000369778 ,0.000369778 ,0.000369778
   47 , 24097.3   ,       1.13994 ,       1.0995  ,       0.96291 ,             0.66725 ,          0.62987 ,         0.68933 ,            0.43887 ,     1.16613 ,     1.2409  ,     0.94775 ,0.000366306 ,0.000366306 ,0.000366306
   48 , 24602.4   ,       1.17254 ,       1.13275 ,       0.97614 ,             0.69225 ,          0.61721 ,         0.66626 ,            0.42855 ,     1.16607 ,     1.25154 ,     0.94722 ,0.000362835 ,0.000362835 ,0.000362835
   49 , 25111.9   ,       1.13518 ,       1.08061 ,       0.95383 ,             0.6554  ,          0.6744  ,         0.70307 ,            0.45553 ,     1.17121 ,     1.20781 ,     0.95029 ,0.000359363 ,0.000359363 ,0.000359363
   50 , 25618     ,       1.1451  ,       1.07808 ,       0.96528 ,             0.67071 ,          0.64395 ,         0.67467 ,            0.43273 ,     1.17338 ,     1.24399 ,     0.9506  ,0.000355892 ,0.000355892 ,0.000355892
   51 , 26126.3   ,       1.13754 ,       1.06744 ,       0.96071 ,             0.69228 ,          0.65511 ,         0.69746 ,            0.4437  ,     1.18584 ,     1.2411  ,     0.95316 ,0.00035242  ,0.00035242  ,0.00035242
   52 , 26631.3   ,       1.15233 ,       1.09791 ,       0.96765 ,             0.66969 ,          0.66294 ,         0.69459 ,            0.43049 ,     1.1979  ,     1.24277 ,     0.95676 ,0.000348948 ,0.000348948 ,0.000348948
   53 , 27156.8   ,       1.15209 ,       1.07261 ,       0.96276 ,             0.68684 ,          0.63295 ,         0.68149 ,            0.42623 ,     1.2021  ,     1.272   ,     0.95221 ,0.000345477 ,0.000345477 ,0.000345477
   54 , 27703.3   ,       1.13397 ,       1.06252 ,       0.95487 ,             0.72492 ,          0.61265 ,         0.6836  ,            0.43797 ,     1.17696 ,     1.22451 ,     0.95097 ,0.000342005 ,0.000342005 ,0.000342005
